event_id,begin_lat,begin_lon
5672615,29328784,-98275318
5672518,30255411,-97655792
5666578,298726615,-999580683
5640492,33347061,-94219743
5666575,29542235,-99978918
5667898,3005991,-93928509
5666552,29180475,-99437235
5641247,31521322,-100519947
5640937,3133378,-100542837
5666556,28674342,-9986838
5666579,299566827,-1005083682
5666580,2940817,-99992747
5666581,29857934,-100020267
5666582,2890168,-99948321
5666648,29595087,-10123545
5672524,30000034,-97700849
5672606,29144544,-972677
5672607,298278222,-983810566
5672514,291856115,-985224131
5672515,2898513,-97209821
5672525,29492884,-97633324
5672526,29972629,-9769055
5672527,29918893,-98244952
5672521,29281955,-9664915
5635673,32248933,-95132641
5634752,31745472,-106226973
5709625,340686271,-1026315384
5689325,307134268,-942714049
5709703,335716466,-1019205533
5692427,308174621,-951499303
5692428,30003638,-95111558
5695277,30674558,-94932561
5704630,34005501,-98749852
5696778,29492987,-94953856
5696257,30747128,-94312037
5681993,29498616,-100874814
5680504,33316997,-9415539
5694052,327405348,-102914764
5132663,27787231,-97401353
5135951,345299072,-1029248972
5138912,31365387,-1023273941
5138904,31368657,-1028151616
5138906,318691164,-1016605784
5157807,312761981,-94847789
5399862,28072117,-971409346
5271429,289313855,-987318055
5320745,289572674,-984763071
5237860,297293835,-994712431
5273326,301027422,-976171454
5399874,283890582,-978201101
5237861,294904845,-99007838
5266194,295126453,-986320361
5271167,295378703,-986219584
5320654,293135646,-985698321
5285486,294649635,-98633878
5319401,295006271,-983944038
5336954,296291565,-986750359
5271168,30219528,-986388034
5174434,291816789,-957454544
5263477,293199776,-954678812
5267737,294644842,-954756367
5315239,291274088,-956878272
5315370,289433487,-954828784
5319694,291361653,-954678415
5373831,292319787,-955679117
5159052,30678587,-9649472
5159599,3074781,-9623609
5321363,30494965,-96253548
5379808,27171973,-984004057
5327836,26942522,-980945167
5152475,319684,-99092392
5307033,31556471,-99009441
5159598,305128563,-968979429
5273250,298515166,-978877514
5306951,32472173,-99574584
5392732,32240789,-99349631
5327615,26215324,-97586894
5327837,26014869,-97391047
5307032,317447065,-100019543
5271169,298159374,-986029784
5372243,313889772,-983598832
5319136,306860409,-10223596
5260993,290977287,-979263286
5247426,349652032,-1010950824
5322943,322965086,-990768939
5353569,318688402,-1028233124
